domain,price,backlinks,age,type
accslot88.live,49.00,639639,0,BIN
1xbet-asia.vip,526.65,107848,1,BIN
1win-asia.vip,526.65,104696,1,BIN
4rabet-casino.vip,526.65,104560,1,BIN
78win01.host,29.00,6414,1,BIN
10bet-app.net,30.00,581,1,BIN_MAKE_OFFER
33win.wtf,26.00,340,1,BIN
98winn.pro,30.00,325,0,BIN
1xbet.xyz,999.00,232,6,BIN
51xp.cc,18.00,224,0,BIN
8kbet.show,35.00,168,1,BIN
affiliatemarketingcasino.com,42.00,140,1,BIN
33winclub.me,34.00,133,0,BIN
1xbeten.site,27.00,105,1,BIN
33winn.co,1988.00,104,1,BIN
31bet.bet,5888.00,103,1,BIN
33wincom.mobi,27.00,83,1,BIN
188bet.agency,29.00,82,1,BIN
33win68.club,31.00,74,1,BIN
12wincai.com,2791.46,72,1,BIN
24win.app,13136.76,67,0,BIN
77bet.cam,34.00,66,1,BIN
123winn.art,30.00,65,1,BIN
23win.video,29.00,59,0,BIN
177bet.net,5888.00,50,6,BIN
1899.bet,3888.00,49,1,BIN
65bet.bet,5888.00,49,1,BIN
17bet.top,1903.54,45,1,BIN
1946bet.com,8703.06,45,10,BIN
177bet.org,5888.00,44,6,BIN
71bet.bet,5888.00,44,1,BIN
8daybet.online,30.00,43,1,BIN
advantagespine.com,3988.00,43,7,BIN_MAKE_OFFER
163casino.com,8703.06,41,7,BIN
1964bet.com,7999.00,41,2,BIN_MAKE_OFFER
2020.bet,9888.00,41,0,BIN
138sunbet.com,5747.26,40,4,BIN
13bet.app,3888.00,39,1,BIN
16bet.top,1903.54,39,1,BIN
32bet.bet,5888.00,39,1,BIN
actionbet.net,2088.00,39,3,BIN
0bet.app,12000.00,37,2,BIN
1346restbet.com,4.00,37,0,BIN
17bet.bet,5888.00,37,1,BIN
33win.website,55.00,37,2,BIN
13bet.bet,5888.00,36,1,BIN
177bet.cc,5888.00,36,6,BIN
0bet.bet,2955.80,35,0,BIN
1xslotcasino.com,999.00,35,6,BIN
28bet.bet,8888.00,35,1,BIN
25bet.top,1903.54,34,1,BIN
60bet.bet,5888.00,34,1,BIN
adult.casino,3000.00,34,1,BIN
advancedbet.com,2399.00,34,13,BIN
1xbitbet.com,17570.46,33,3,BIN
27bet.bet,5888.00,33,1,BIN
37bet.bet,5888.00,33,1,BIN
